OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|OID_COUNTY_20|GEOID_COUNTY_20|NAMELSAD_COUNTY_20|AREALAND_COUNTY_20|AREAWATER_COUNTY_20|MTFCC_COUNTY_20|CLASSFP_COUNTY_20|FUNCSTAT_COUNTY_20|AREALAND_PART|AREAWATER_PART
||||||||27590114112812|01003|Baldwin County|4117656199|1132956041|G4020|H1|A|339765765|927218265
||||||||2759099719300|01007|Bibb County|1612188717|9572303|G4020|H1|A|92709500|11113
||||||||27590103020886|01015|Calhoun County|1569246127|16536293|G4020|H1|A|173314495|461654
||||||||27590336389978|01021|Chilton County|1794438835|20592116|G4020|H1|A|67098990|5170
||||||||2759075862059|01025|Clarke County|3207494086|36657889|G4020|H1|A|29757|593967
||||||||27590536790681|01029|Cleburne County|1450666453|2352217|G4020|H1|A|69471534|56495
||||||||27590352984259|01031|Coffee County|1758565928|3907189|G4020|H1|A|15440476|0
||||||||27590355330804|01045|Dale County|1453276166|4051341|G4020|H1|A|84969311|2688825
||||||||27590110063905|01047|Dallas County|2534919608|39124778|G4020|H1|A|15231028|0
||||||||27590543360128|01097|Mobile County|3184064139|1074011171|G4020|H1|A|133697167|877485800
||||||||27590287398481|01113|Russell County|1660652494|15564412|G4020|H1|A|31823975|5426468
||||||||2759045279864|02013|Aleutians East Borough|18091672533|20799851130|G4020|H1|A|17284087088|20645492331
||||||||2759045076504|02016|Aleutians West Census Area|11377885025|25183635754|G4020|H5|S|10584883836|25133690821
||||||||2759045412859|02020|Anchorage Municipality|4420591349|621302197|G4020|H6|C|71422597|408835619
||||||||2759045104122|02050|Bethel Census Area|105223804364|12764675306|G4020|H5|S|66957820596|12284893308
||||||||2759045508744|02060|Bristol Bay Borough|1248315815|949775630|G4020|H1|A|230398217|868873402
||||||||2759015921805707|02063|Chugach Census Area|24682168359|14538928722|G4020|H5|S|12447863893|10650741088
||||||||2759015921805706|02066|Copper River Census Area|63952335592|1217429937|G4020|H5|S|15757435535|160067292
||||||||2759045518421|02068|Denali Borough|32740165582|66105677|G4020|H1|A|17656550845|46264806
||||||||2759045529140|02070|Dillingham Census Area|47484825242|5943879883|G4020|H5|S|15624985166|4439379042
||||||||27590495867160|02090|Fairbanks North Star Borough|18997068212|259343323|G4020|H1|A|7042969171|71720639
||||||||2759045122484|02100|Haines Borough|6069358955|1041214321|G4020|H1|A|1589312094|848118044
||||||||275902175956301|02105|Hoonah-Angoon Census Area|16978039504|7804886156|G4020|H5|S|8743232698|7238193083
||||||||2759045059716|02110|Juneau City and Borough|7003406836|1426230792|G4020|H6|C|1299767074|794039995
||||||||2759045664576|02122|Kenai Peninsula Borough|41484923347|22541184317|G4020|H1|A|10434374311|21310286059
||||||||2759045732176|02130|Ketchikan Gateway Borough|12579382524|4651611659|G4020|H1|A|8191654017|4021552864
||||||||2759045754931|02150|Kodiak Island Borough|17324067231|14148864370|G4020|H1|A|6346195910|12881631073
||||||||2759064048050|02158|Kusilvak Census Area|44229388640|6686187054|G4020|H5|S|40420801930|6400907303
||||||||2759045769594|02164|Lake and Peninsula Borough|61724164724|25989695209|G4020|H1|A|50612262011|25351356506
||||||||2759045842714|02170|Matanuska-Susitna Borough|63990747114|1446632980|G4020|H1|A|21477527637|871206695
||||||||2759051328910|02180|Nome Census Area|59490634310|13780758093|G4020|H5|S|32292026930|12798358117
||||||||2759053121120|02185|North Slope Borough|230052127559|15551055437|G4020|H1|A|222880206377|14814616115
||||||||2759051358025|02188|Northwest Arctic Borough|92367472817|12837268666|G4020|H1|A|81908155204|10352704554
